,0
0,106189.7632688125
1,156987.78817191816
2,167242.0876741105
3,184327.71500330773
4,188722.28401604525
5,172587.28206177257
6,184197.84000437777
7,163287.84478485293
8,199876.4817445915
9,110329.33686666528
10,201072.08581671526
11,106159.25288286747
12,91480.40856046288
13,147035.3712198871
14,108005.07423585662
15,349434.66284119565
16,240223.35605412512
17,304734.780146393
18,298737.5542217901
19,424949.9874382168
20,279753.5917391929
21,214872.80597950664
22,177732.8657450326
23,168670.41320663638
24,200049.15902612748
25,209552.71049757794
26,294093.3243462704
27,238201.72860955657
28,187939.226049136
29,244299.43449483486
30,215647.4628837684
31,92079.74520375783
32,197268.35480987956
33,288742.405858
34,266548.00404415326
35,250488.12599837873
36,167427.3845386437
37,169579.51419553536
38,163032.10089253535
39,158329.7948702051
40,203003.73621716982
41,147972.69174561495
42,280724.12724429055
43,243280.18322967432
44,225208.2509568212
45,195832.80973127138
46,245782.0570788061
47,202181.1942610517
48,151383.2852832037
49,134322.3546374643
50,153579.82322381824
51,177265.87803013783
52,153205.3317602149
53,137127.13994602935
54,212606.79099005443
55,168455.45604708415
56,168000.54975676627
57,121320.75268365105
58,226699.32228611957
59,127575.3987298313
60,120388.21633963005
61,193643.88411512962
62,98613.18404798282
63,125810.04009787028
64,92224.16009004245
65,87554.21846868872
66,92513.79031050642
67,148012.9150814536
68,140012.14846195755
69,199781.5021915491
70,150075.41331705177
71,103033.74979399511
72,158141.0958017885
73,153666.78093064495
74,161631.97681864555
75,109567.06445755644
76,43906.4337602274
77,156194.0857376424
78,230302.99406533118
79,111174.42968021086
80,144947.50199444598
81,142977.26947028105
82,187537.04196141535
83,93075.02180092112
84,107288.51977146903
85,138597.62320281778
86,152279.19859092502
87,131692.26810837226
88,109496.43576171211
89,134951.77030126125
90,138872.86894912645
91,134790.73920250364
92,152782.78351752012
93,110179.1448640775
94,163526.62316266246
95,78413.76028217387
96,112966.20099347556
97,117746.90519854333
98,73737.79937781341
99,142504.92146468104
100,157285.57562338826
101,134376.86115968772
102,118735.80156253985
103,160483.7645725166
104,133115.43732391766
105,234877.00806530117
106,82263.22718485963
107,234514.65287757613
108,121459.17007236523
109,142733.2141565518
110,98109.41838879054
111,138998.75109056823
112,253445.4590875012
113,112612.37162015314
114,233768.85320725624
115,246307.42282179993
116,192358.29055839285
117,157171.95175480744
118,123006.81611647591
119,190905.9161807719
120,165412.19710962518
121,124804.88645348084
122,287375.1739026513
123,224028.79143088064
124,150433.15084273153
125,45166.0626284575
126,104299.38479260533
127,152885.9836587415
128,102301.8132649645
129,136057.7661991613
130,69335.07339853671
131,146422.93402023174
132,130307.62049184911
133,142031.36267448578
134,113385.47172075842
135,217864.53728163417
136,164324.23285213276
137,189449.82937362447
138,187919.23399432845
139,184960.8161691674
140,36496.031526847044
141,116745.10744509046
142,64308.30184534524
143,270471.6547575359
144,244817.24643083801
145,163221.55774472404
146,164533.23238113106
147,225977.75047751277
148,194127.46359139853
149,150276.5912409499
150,132052.85163053757
151,188861.48581126193
152,163121.6705289623
153,137056.04229529275
154,78511.97395556985
155,52259.09530393651
156,70736.93605511513
157,112089.13783406155
158,154380.56119666973
159,149389.93208712863
160,134174.952405733
161,155042.07037094102
162,256194.7074511504
163,217786.6594604603
164,119209.15757830208
165,181630.887014048
166,181233.44306423707
167,277292.1959286325
168,172380.72384029426
169,326386.6471259591
170,211227.27905183818
171,223692.12397037353
172,183557.25100501155
173,188984.8683034024
174,187128.80094066166
175,161281.19559662198
176,193940.5860543862
177,201487.22109353816
178,178410.59001195207
179,264246.5305890969
180,182239.77744574705
181,258016.0105050605
182,219447.0294997297
183,231446.75628322968
184,236427.65760999022
185,166074.45693069178
186,158600.27600211074
187,132423.17308532557
188,143112.46071309157
189,101766.10186774822
190,108900.55647608128
191,105567.4589745918
192,105535.40491797178
193,144284.7954123612
194,143307.13221791288
195,139226.36273692304
196,144244.82470310188
197,149202.78607218328
198,107457.15514289087
199,147884.10907968713
200,407811.41595278453
201,338296.8932207671
202,371899.781048862
203,430832.9526005244
204,321716.9620479247
205,294835.2292140061
206,348842.50294740265
207,352007.6127626393
208,313955.9035166252
209,342199.7073416848
210,259978.11150521756
211,382086.70074921916
212,281100.74390877836
213,252279.36553651665
214,210801.75094178956
215,213365.03070563957
216,210546.1709519435
217,421260.455557083
218,345588.75908517174
219,320944.4050608142
220,281170.2596259682
221,289474.63251119375
222,191704.0477976076
223,190553.75959206873
224,199109.28167128353
225,175834.84144587326
226,187899.22364420324
227,206830.0723424774
228,211568.34684585143
229,213199.33318659136
230,201031.45835491156
231,272037.5360221979
232,184349.94547700643
233,183724.29255559822
234,164891.40820696272
235,262659.61934565514
236,163352.36839907352
237,300815.8654814093
238,317246.85984964744
239,240055.46756175393
240,269722.55293981254
241,249120.89447761604
242,243392.53967316958
243,281564.4750038546
244,273404.5438737981
245,383255.0123276172
246,219913.969391233
247,208253.81452089484
248,264786.3161089929
249,232365.77401699696
250,280324.0938451802
251,256768.69946150962
252,273279.5341501293
253,225465.10206098354
254,212249.00387317088
255,184815.2701519672
256,187236.36647375795
257,135569.14366721496
258,217890.81475224855
259,273646.1730470081
260,179816.21550232827
261,125465.85939393003
262,162819.38614746442
263,215673.7504011345
264,243233.99312150697
265,197822.28397010933
266,156305.63867292312
267,197186.86611219603
268,161780.2096508608
269,157332.73942270296
270,132663.08122856417
271,124504.7094519035
272,103828.62455561617
273,116353.5110303598
274,146156.92961728785
275,103983.60897842966
276,287855.88914009824
277,233209.62188084587
278,259434.3945756631
279,206399.0284226131
280,190076.87057020332
281,184449.6397090021
282,189205.54904403404
283,326627.3500178694
